Caldera,Site_Name,Soil_Type,Date_of_Measurement,CH4_Flux,log10FCH4,d13CH4_source,CO2_Flux,log10FCO2,d13CO2_source
VC,Sulphur Springs,Acid-Sulphate,7/8/2017,0.339147216,-0.469611743,-51.10371007,2319.169764,3.36533254,21.71217959
VC,Sulphur Springs,Acid-Sulphate,7/8/2017,0.504078556,-0.297501778,-52.14978328,7345.016324,3.865992765,13.81164436
VC,Sulphur Springs,Acid-Sulphate,7/8/2017,0.080611798,-1.09360139,-68.47595925,746.6007823,2.873088441,1.811695536
VC,Sulphur Springs,Acid-Sulphate,7/10/2017,0.073668764,-1.132716616,-83.33004902,223.1385776,2.34857466,-21.51413518
VC,Sulphur Springs,Acid-Sulphate,7/10/2017,0.573408865,-0.241535597,-58.77350469,3680.268009,3.565879447,6.747223442
VC,Sulphur Springs,Acid-Sulphate,7/10/2017,15.072271,1.178178694,-66.07965989,40267.84917,4.604958433,-1.766282684
VC,Sulphur Springs,Acid-Sulphate,7/10/2017,5.453867279,0.736704565,-69.77441804,15279.79906,4.184117643,4.957998185
VC,Sulphur Springs,Acid-Sulphate,7/10/2017,6.595119212,0.81922265,-65.79280886,20152.70096,4.304333261,0.127156406
VC,Alamo Canyon,Acid-Sulphate,7/11/2017,0.015520034,-1.809107332,-89.83734556,170.1823966,2.230914635,1077.216077
VC,Alamo Canyon,Acid-Sulphate,7/11/2017,0.490745822,-0.309143389,-61.1184809,8865.787291,3.947717307,-1.971512744
VC,Alamo Canyon,Acid-Sulphate,7/11/2017,1.754130854,0.244061987,-69.20046445,7955.97298,3.900693299,-7.961451723
VC,Alamo Canyon,Acid-Sulphate,7/11/2017,0.013998542,-1.853917206,-28.38227124,241.3237601,2.382600084,153.3957789
VC,Soda Dam,Travertine,7/12/2017,-0.003361777,,-84.74391159,86.89587788,1.938999175,-9.026245347
VC,Soda Dam,Travertine,7/12/2017,0.497323573,-0.303360955,-83.924278,402.5334479,2.604801973,-5.536780193
VC,Soda Dam,Travertine,7/12/2017,0.004038207,-2.393811406,1046.063306,11521.30586,4.061501706,-6.324557749
VC,Soda Dam,Travertine,7/12/2017,9.058731093,0.957067368,-74.50132779,1687.237211,3.227176145,-5.525550993
VC,Soda Dam,Travertine,7/12/2017,-0.036223257,,-125.5138902,3517.745214,3.546264381,-7.22167408
VC,Soda Dam,Travertine,7/12/2017,-0.01548778,,-81.39411355,1123.614732,3.050617425,-7.477349835
VC,Redondo Peak,Unclassified,7/13/2017,-0.01548778,,-39.76528536,13012.82206,4.114371491,-5.201751905
VC,Redondo Peak,Unclassified,7/13/2017,1.329864581,0.123807419,-63.15661766,4579.331279,3.660802063,-4.392945613
