Year,Site,Group,Soil_Type,fCO2,log10fCO2
2019,EETR,East Entrance Road,Acid-Sulphate,914.64,2.96125019
2019,EETR,East Entrance Road,Acid-Sulphate,2957.6,3.470939438
2019,EETR,East Entrance Road,Acid-Sulphate,52.8,1.722633923
2019,EETR,East Entrance Road,Acid-Sulphate,292.8,2.466571072
2019,EETR,East Entrance Road,Acid-Sulphate,224.64,2.35148709
2019,GVNT,Gas Vents,Acid-Sulphate,72.96,1.863084825
2019,GVNT,Gas Vents,Acid-Sulphate,16.56,1.219060332
2019,GVNT,Gas Vents,Acid-Sulphate,24.48,1.388811413
2019,GVNT,Gas Vents,Acid-Sulphate,41.76,1.62076049
2019,GVNT,Gas Vents,Acid-Sulphate,19.2,1.283301229
2019,GVNT,Gas Vents,Acid-Sulphate,77.52,1.889413764
2019,GVNT,Gas Vents,Acid-Sulphate,82.56,1.916769684
2019,GVNT,Gas Vents,Acid-Sulphate,81.36,1.91041094
2019,GVNT,Gas Vents,Acid-Sulphate,116.4,2.06595298
2019,GVNT,Gas Vents,Acid-Sulphate,24.48,1.388811413
2019,GVNT,Gas Vents,Acid-Sulphate,51.84,1.714664993
2019,GVNT,Gas Vents,Acid-Sulphate,141.84,2.151798723
2019,GVNT,Gas Vents,Acid-Sulphate,23.04,1.362482475
2019,GVNT,Gas Vents,Acid-Sulphate,27.6,1.440909082
2019,GVNT,Gas Vents,Acid-Sulphate,86.64,1.937718444
2019,GVNT,Gas Vents,Acid-Sulphate,1170.72,3.068453038
2019,GVNT,Gas Vents,Acid-Sulphate,385.44,2.585956783
2019,GVNT,Gas Vents,Acid-Sulphate,71.76,1.85588243
2019,GVNT,Gas Vents,Acid-Sulphate,99.36,1.997211583
2019,GVNT,Gas Vents,Acid-Sulphate,33.84,1.529430354
2019,GVNT,Gas Vents,Acid-Sulphate,655.68,2.816691937
2019,GVNT,Gas Vents,Acid-Sulphate,417.36,2.620510824
2019,GVNT,Gas Vents,Acid-Sulphate,69.36,1.841109084
2019,GVNT,Gas Vents,Acid-Sulphate,102.96,2.012668534
2019,GVNT,Gas Vents,Acid-Sulphate,143.04,2.155457501
2019,GVNT,Gas Vents,Acid-Sulphate,24,1.380211242
2019,GVNT,Gas Vents,Acid-Sulphate,613.92,2.788111782
2019,GVNT,Gas Vents,Acid-Sulphate,93.12,1.969042967
2019,GVNT,Gas Vents,Acid-Sulphate,473.76,2.67555839
2019,GVNT,Gas Vents,Acid-Sulphate,50.88,1.706547103
2019,GVNT,Gas Vents,Acid-Sulphate,8.16,0.911690159
2019,GVNT,Gas Vents,Acid-Sulphate,24.96,1.397244581
2019,GVNT,Gas Vents,Acid-Sulphate,73.44,1.865932668
2019,GVNT,Gas Vents,Acid-Sulphate,85.92,1.934094268
2019,MDVC,Mud Volcano,Acid-Sulphate,909.84,2.958965026
2019,MDVC,Mud Volcano,Acid-Sulphate,909.6,2.958850452
2019,MDVC,Mud Volcano,Acid-Sulphate,516.72,2.713255272
2019,MDVC,Mud Volcano,Acid-Sulphate,108.24,2.034387784
2019,MDVC,Mud Volcano,Acid-Sulphate,38.4,1.584331224
2019,MDVC,Mud Volcano,Acid-Sulphate,28.56,1.455758203
2019,MDVC,Mud Volcano,Acid-Sulphate,128.88,2.110185527
2019,MDVC,Mud Volcano,Acid-Sulphate,27.6,1.440909082
2019,MDVC,Mud Volcano,Acid-Sulphate,125.52,2.098712931
2019,MDVC,Mud Volcano,Acid-Sulphate,127.68,2.106122874
2019,MDVC,Mud Volcano,Acid-Sulphate,48.24,1.683407299
2019,MDVC,Mud Volcano,Acid-Sulphate,2.64,0.421603927
2019,MDVC,Mud Volcano,Acid-Sulphate,7.92,0.898725182
2019,MDVC,Mud Volcano,Acid-Sulphate,54.24,1.734319681
2019,MDVC,Mud Volcano,Acid-Sulphate,3.12,0.494154594
2019,DISY,Daisy Geyser,Neutral-Chloride,1.2,0.079181246
2019,DISY,Daisy Geyser,Neutral-Chloride,1.2,0.079181246
2019,DISY,Daisy Geyser,Neutral-Chloride,0.48,-0.318758763
2019,DISY,Daisy Geyser,Neutral-Chloride,1.2,0.079181246
2019,DISY,Daisy Geyser,Neutral-Chloride,2.4,0.380211242
2019,DISY,Daisy Geyser,Neutral-Chloride,0.24,-0.619788758
2019,DISY,Daisy Geyser,Neutral-Chloride,1.44,0.158362492
2019,DISY,Daisy Geyser,Neutral-Chloride,,
2019,DISY,Daisy Geyser,Neutral-Chloride,0.72,-0.142667504
2019,DISY,Daisy Geyser,Neutral-Chloride,,
2019,DISY,Daisy Geyser,Neutral-Chloride,1.2,0.079181246
2019,DISY,Daisy Geyser,Neutral-Chloride,1.2,0.079181246
2019,DISY,Daisy Geyser,Neutral-Chloride,0.48,-0.318758763
2019,DISY,Daisy Geyser,Neutral-Chloride,1.2,0.079181246
2019,DISY,Daisy Geyser,Neutral-Chloride,1.2,0.079181246
2019,DISY,Daisy Geyser,Neutral-Chloride,1.44,0.158362492
2019,DISY,Daisy Geyser,Neutral-Chloride,0.72,-0.142667504
2019,DISY,Daisy Geyser,Neutral-Chloride,0.96,-0.017728767
2019,DISY,Daisy Geyser,Neutral-Chloride,1.68,0.225309282
2019,DISY,Daisy Geyser,Neutral-Chloride,1.44,0.158362492
2019,DISY,Daisy Geyser,Neutral-Chloride,2.16,0.334453751
2019,NGBN,Norris Geyser Basin,Neutral-Chloride,0.72,-0.142667504
2019,NGBN,Norris Geyser Basin,Neutral-Chloride,0.48,-0.318758763
2019,NGBN,Norris Geyser Basin,Neutral-Chloride,0.72,-0.142667504
2019,NGBN,Norris Geyser Basin,Neutral-Chloride,,
2019,NGBN,Norris Geyser Basin,Neutral-Chloride,0.96,-0.017728767
2019,NGBN,Norris Geyser Basin,Neutral-Chloride,0.72,-0.142667504
2019,NGBN,Norris Geyser Basin,Neutral-Chloride,0.72,-0.142667504
2019,NGBN,Norris Geyser Basin,Neutral-Chloride,9144,3.961136217
2019,NGBN,Norris Geyser Basin,Neutral-Chloride,7.2,0.857332496
2019,NGBN,Norris Geyser Basin,Neutral-Chloride,3.36,0.526339277
2019,NGBN,Norris Geyser Basin,Neutral-Chloride,7.2,0.857332496
2019,NGBN,Norris Geyser Basin,Neutral-Chloride,1.92,0.283301229
2019,NGBN,Norris Geyser Basin,Neutral-Chloride,4.32,0.635483747
2019,NGBN,Norris Geyser Basin,Neutral-Chloride,9.36,0.971275849
2019,NGBN,Norris Geyser Basin,Neutral-Chloride,2.16,0.334453751
2019,NGBN,Norris Geyser Basin,Neutral-Chloride,10.08,1.003460532
2019,NGBN,Norris Geyser Basin,Neutral-Chloride,50.4,1.702430536
2019,WTHB,West Thumb,Neutral-Chloride,,
2019,WTHB,West Thumb,Neutral-Chloride,,
2019,WTHB,West Thumb,Neutral-Chloride,,
2019,WTHB,West Thumb,Neutral-Chloride,0.96,-0.017728767
2019,WTHB,West Thumb,Neutral-Chloride,1.44,0.158362492
2019,WTHB,West Thumb,Neutral-Chloride,,
2019,WTHB,West Thumb,Neutral-Chloride,1.2,0.079181246
2019,WTHB,West Thumb,Neutral-Chloride,0.24,-0.619788758
2019,MMTH,Mammoth Hot Springs,Travertine,7.68,0.88536122
2019,MMTH,Mammoth Hot Springs,Travertine,2.88,0.459392488
2019,MMTH,Mammoth Hot Springs,Travertine,5.76,0.760422483
2019,MMTH,Mammoth Hot Springs,Travertine,5.28,0.722633923
2019,MMTH,Mammoth Hot Springs,Travertine,11.28,1.0523091
2019,MMTH,Mammoth Hot Springs,Travertine,2.64,0.421603927
2019,MMTH,Mammoth Hot Springs,Travertine,4.8,0.681241237
2019,MMTH,Mammoth Hot Springs,Travertine,6.24,0.79518459
2019,MMTH,Mammoth Hot Springs,Travertine,9.6,0.982271233
2019,MMTH,Mammoth Hot Springs,Travertine,10.32,1.013679697
2019,MMTH,Mammoth Hot Springs,Travertine,85.68,1.932879458
2019,MMTH,Mammoth Hot Springs,Travertine,203.76,2.309118932
2019,MMTH,Mammoth Hot Springs,Travertine,136.8,2.136086097
2019,MMTH,Mammoth Hot Springs,Travertine,181.92,2.259880447
2019,MMTH,Mammoth Hot Springs,Travertine,135.36,2.131490346
2019,MMTH,Mammoth Hot Springs,Travertine,27.84,1.444669231
2019,MMTH,Mammoth Hot Springs,Travertine,30.96,1.490800952
2019,MMTH,Mammoth Hot Springs,Travertine,34.56,1.538573734
2019,MMTH,Mammoth Hot Springs,Travertine,34.08,1.532499586
2019,MMTH,Mammoth Hot Springs,Travertine,46.08,1.66351247
2019,MMTH,Mammoth Hot Springs,Travertine,,
2019,MMTH,Mammoth Hot Springs,Travertine,0.72,-0.142667504
2019,MMTH,Mammoth Hot Springs,Travertine,1.44,0.158362492
2019,MMTH,Mammoth Hot Springs,Travertine,1.44,0.158362492
2019,MMTH,Mammoth Hot Springs,Travertine,1.2,0.079181246
2019,SBGY,Steamboat Geyser,Neutral-Chloride,65.52,1.816373889
2019,SBGY,Steamboat Geyser,Neutral-Chloride,30.72,1.487421211
2019,SBGY,Steamboat Geyser,Neutral-Chloride,55.92,1.747567163
2019,SBGY,Steamboat Geyser,Neutral-Chloride,65.04,1.813180533
2019,SBGY,Steamboat Geyser,Neutral-Chloride,36.72,1.564902673
2019,SBGY,Steamboat Geyser,Neutral-Chloride,64.32,1.808346036
2019,SBGY,Steamboat Geyser,Neutral-Chloride,67.44,1.828917562
2019,SBGY,Steamboat Geyser,Neutral-Chloride,36.48,1.56205483
2019,SBGY,Steamboat Geyser,Neutral-Chloride,60,1.77815125
2019,SBGY,Steamboat Geyser,Neutral-Chloride,66.72,1.824256038
2019,SBGY,Steamboat Geyser,Neutral-Chloride,36,1.556302501
2019,SBGY,Steamboat Geyser,Neutral-Chloride,53.28,1.726564216
2019,SBGY,Steamboat Geyser,Neutral-Chloride,67.2,1.827369273
2019,SBGY,Steamboat Geyser,Neutral-Chloride,35.52,1.550472957
2019,SBGY,Steamboat Geyser,Neutral-Chloride,55.68,1.745699227
2019,SBGY,Steamboat Geyser,Neutral-Chloride,61.44,1.788451207
2019,SBGY,Steamboat Geyser,Neutral-Chloride,36.48,1.56205483
2019,SBGY,Steamboat Geyser,Neutral-Chloride,53.76,1.73045926
2019,SBGY,Steamboat Geyser,Neutral-Chloride,63.36,1.801815169
2019,SBGY,Steamboat Geyser,Neutral-Chloride,36.96,1.567731963
2019,SBGY,Steamboat Geyser,Neutral-Chloride,57.12,1.756788199
2019,SBGY,Steamboat Geyser,Neutral-Chloride,65.52,1.816373889
2019,SBGY,Steamboat Geyser,Neutral-Chloride,37.44,1.57333584
2019,SBGY,Steamboat Geyser,Neutral-Chloride,56.64,1.753123245
2019,SBGY,Steamboat Geyser,Neutral-Chloride,66.24,1.821120324
2019,SBGY,Steamboat Geyser,Neutral-Chloride,37.2,1.57054294
2019,SBGY,Steamboat Geyser,Neutral-Chloride,56.64,1.753123245
2019,SBGY,Steamboat Geyser,Neutral-Chloride,67.2,1.827369273
2019,SBGY,Steamboat Geyser,Neutral-Chloride,37.92,1.578868329
2019,SBGY,Steamboat Geyser,Neutral-Chloride,57.12,1.756788199
2018,EETR,East Entrance Road,Acid-Sulphate,32.64,1.51375015
2018,EETR,East Entrance Road,Acid-Sulphate,61.44,1.788451207
2018,EETR,East Entrance Road,Acid-Sulphate,620.88,2.79300767
2018,EETR,East Entrance Road,Acid-Sulphate,214.56,2.331548761
2018,EETR,East Entrance Road,Acid-Sulphate,23.28,1.366982976
2018,EETR,East Entrance Road,Acid-Sulphate,6,0.77815125
2018,EETR,East Entrance Road,Acid-Sulphate,36.48,1.56205483
2018,EETR,East Entrance Road,Acid-Sulphate,7.68,0.88536122
2018,EETR,East Entrance Road,Acid-Sulphate,42,1.62324929
2018,EETR,East Entrance Road,Acid-Sulphate,729.12,2.862799011
2018,EETR,East Entrance Road,Acid-Sulphate,113.52,2.055072382
2018,EETR,East Entrance Road,Acid-Sulphate,18.24,1.261024834
2018,EETR,East Entrance Road,Acid-Sulphate,71.52,1.854427506
2018,EETR,East Entrance Road,Acid-Sulphate,58.8,1.769377326
